,index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
91,97,10,20,120,-2.0,1.0,5,0.8085163172625345
64,68,8,40,120,-3.0,0.5,5,0.8079473516896525
144,155,10,40,90,-2.0,0.1,4,0.8060376288311759
1,1,8,50,100,-3.0,1.0,4,0.8058466130015058
247,261,9,60,120,-2.0,0.5,4,0.8056231960323612
322,336,2,20,100,-2.0,1.0,4,0.8055114057275485
243,257,10,60,130,-3.0,0.5,5,0.8052017038944139
205,217,9,60,110,-3.0,0.1,3,0.8051267560980084
36,39,6,30,120,-2.0,0.5,4,0.8050241920087321
218,230,5,60,120,-2.0,1.0,4,0.8043136783843331
37,40,10,60,100,-3.0,1.0,5,0.8040995082994445
188,200,7,50,100,-3.0,1.0,5,0.8029112110321373
197,209,2,50,120,-3.0,0.1,5,0.8028573678335637
60,64,9,60,100,-3.0,0.1,2,0.8028218454873952
351,365,3,20,90,-2.0,1.0,5,0.8026857096018367
222,234,4,30,110,-2.0,0.5,5,0.802335847473622
204,216,10,20,140,-2.0,0.1,5,0.8015089130875586
115,123,10,30,130,-3.0,1.0,5,0.8010396819017127
24,25,5,60,140,-2.0,0.5,5,0.800197275224438
328,342,3,50,90,-3.0,0.5,3,0.798199397068158
31,34,2,30,130,-2.0,0.1,5,0.7966695196126405
334,348,5,30,90,-2.0,0.1,2,0.7918032322084994
315,329,5,40,120,-3.0,0.5,4,0.7914799176883408
231,244,6,30,150,-2.0,1.0,5,0.791135449806174
381,398,7,60,150,-2.0,0.1,4,0.7892299695969943
332,346,2,40,110,-3.0,1.0,5,0.7886703749478967
299,313,7,50,150,-2.0,0.5,5,0.7876519980652834
27,28,10,50,110,-3.0,0.5,5,0.7869351649658829
307,321,10,20,150,-3.0,0.5,5,0.7861221425082421
327,341,9,50,150,-3.0,1.0,4,0.78092362856625
324,338,8,60,90,-2.0,1.0,2,0.7805325965525973
142,152,3,20,150,-2.0,0.1,3,0.7790956899815527
106,112,2,50,120,-3.0,1.0,5,0.7787052756216577
