,dim 1,dim 2,dim 3,dim 4
102,1.0559702,-0.6274812,0.38413072,0.35558695
103,1.1191095,-0.15248156,-0.1526328,0.45805752
104,0.6524884,-0.418796,0.39360338,0.7313303
105,1.0315168,-0.60575116,0.37675545,0.47565895
106,0.8058086,-0.42779464,0.3212978,0.67676353
107,0.48078567,-0.26926118,0.36871284,0.8104149
108,1.0327287,0.4467737,-0.67051154,0.5097872
109,0.97940177,-0.51596594,0.30333087,0.23156829
110,1.3306559,-0.9691839,0.50518787,-0.28473255
111,-0.07144627,-1.0338659,1.4513112,1.0182753
112,0.07245125,0.6700277,-0.19163826,1.4714496
113,-0.39893824,0.15552814,0.55881846,1.5570798
114,1.3440312,1.4860287,-1.8003333,0.80992806
115,-0.42344135,1.1707554,-0.4587524,1.6448872
116,0.9493693,-0.23537852,0.09787933,0.85117865
117,0.7552752,-0.8588605,0.7714638,0.5822825
118,1.4207813,1.1816344,-1.5751908,0.69704324
119,0.2167127,0.6909861,-0.3374738,1.381744
120,0.13372746,-0.08906335,0.47173163,1.2698367
121,0.93856496,-1.1776918,0.9889307,-0.122493386
122,2.2386863,-0.445458,-0.57225513,-0.3829531
123,0.7238132,0.94889295,-0.90161103,1.0816131
124,1.0451925,0.10232772,-0.32672676,0.6644934
125,0.44729823,0.32618958,-0.2610594,0.9771465
126,1.3671576,0.5033211,-0.9017138,0.46250635
127,1.8477683,1.6884328,-2.3809283,0.36340678
128,1.2755067,0.34489977,-0.7980259,0.20332195
129,0.43153715,-0.83073205,1.0091897,0.4927646
130,0.14646141,1.8492258,-1.2596163,1.7435895
131,1.4134789,1.4474298,-1.865733,0.62327516
132,1.4113424,0.38267893,-0.75448865,0.61037594
133,-0.42395443,-0.44006407,1.184587,1.4236054
134,0.50095564,0.86829185,-0.70363414,1.0243186
135,0.6110797,-0.058550198,0.11801078,0.973235
136,0.1147618,0.038576424,0.30143014,1.0889976
137,1.5011071,-0.7898508,0.26881066,0.19531636
138,1.9850714,-0.43099058,-0.4330879,-0.21041745
139,0.6113225,0.17859237,-0.13349494,0.93171763
140,0.68156856,0.75484693,-0.6678309,1.2402251
141,1.3679942,0.05729793,-0.4398589,0.55696684
142,0.078050435,0.48693818,-0.02630334,1.5477865
143,0.034777697,-0.26176342,0.6849222,1.2497295
144,0.23700584,-0.3950867,0.59248376,0.8758179
145,1.8931983,0.28046232,-1.0833535,-0.15509251
146,1.6696898,-0.28689575,-0.39227697,-0.009722233
147,1.2086247,-0.87842447,0.4972383,0.27003264
148,1.2002766,0.32164818,-0.62979513,0.43048352
149,0.72883916,-0.23112322,0.23820606,0.85241854
150,0.717107,-0.53300923,0.40693814,0.48650634
151,0.98195803,-0.20099036,-0.0305844,0.3325107
152,1.1419212,0.04250907,-0.31842068,0.59800416
153,0.39602768,1.149631,-0.7722152,1.5994545
154,0.40247613,-0.33139992,0.51974815,1.0489918
155,-0.14309771,-0.98789966,1.5072079,1.2181773
156,1.4519277,-0.09501237,-0.37669536,0.19533662
157,0.31426883,-0.30116737,0.5535007,1.2935593
158,0.50455755,0.6566901,-0.72054136,0.76123565
159,0.8102351,-0.59632695,0.51317954,0.6527376
160,0.245428,0.097682,0.19139096,1.0945477
161,0.9908107,-0.51429796,0.3113118,0.16137661
162,1.1476641,0.20506202,-0.49469772,0.54934436
163,0.18812673,0.4326474,-0.030790461,1.3206102
164,0.7216564,-0.20575556,0.20808008,0.9123672
165,0.74213684,0.5852464,-0.5187462,1.1696047
166,1.4047825,0.34977382,-0.8054431,0.37811667
167,0.5152411,0.09839775,0.046805717,1.108963
168,0.19006982,0.2989421,-0.017682204,1.160103
169,0.6016267,0.9773866,-0.93338954,0.8023437
170,0.31292439,0.21138997,0.04689703,1.0891308
171,1.1568433,-0.1488271,-0.14891168,0.37079716
172,0.8782595,-0.22729847,0.057164624,0.55972046
173,0.41016316,1.0618577,-0.7636061,1.5084993
174,1.5499147,-0.1689331,-0.3392406,0.45378333
175,0.117834955,0.48813862,-0.024798065,1.5130135
176,1.5028721,-0.31495398,-0.19823879,0.24806185
