,Cluster_1,Cluster_1,Cluster_2,Cluster_2,Cluster_3,Cluster_3,Cluster_4,Cluster_4,Cluster_5,Cluster_5,all_patnos,all_patnos
27,Protein_UST,0.3655264712835251,Protein_ISLR2.1,0.4353566070184147,Protein_MB,-0.3861373546582998,Protein_FAM19A1,-0.45494156314087064,Protein_KNG1,0.6158494071686405,Protein_NPC2,12.54561854979865
28,Protein_FAM171B.2,0.3654944970475249,Protein_AFM,-0.434482164584745,Protein_FGA,-0.3846024649771902,Protein_OLFM1,-0.4547251924581799,Protein_LRP1B.1,0.6144183186522643,Protein_PTN,12.534159701399851
29,Protein_EPHB6,0.36481715527332526,Protein_MFGE8,0.43133769309529946,Protein_DDR1.2,0.38399393071366106,Protein_EPHB6,-0.4503203024412308,Protein_C6,0.6090934633929455,Protein_PCSK1,12.5167270449315
30,Protein_SEMA3E,0.3600333359862007,Protein_RTN4,-0.42830617894516987,Protein_IGFBP6.1,-0.3833129547689502,Protein_CA10.1,-0.4488360687452202,Protein_AFM,0.6084840455176099,Protein_BMPR1A,12.4973356519849
31,Protein_TMEM132D,0.35847625619420853,Protein_EPHB6,0.4272828499496555,Protein_AMHR2,-0.38048479329025575,Protein_KIAA1549L,-0.4468112762973391,Protein_IGHG1.1,0.6034750919409801,Protein_EFNA3,12.40009028461475
32,Protein_ISLR2.1,0.3572147316672103,Protein_ACP1,0.4264869869558101,Protein_MST1,-0.3802481138135754,Protein_UST,-0.44636448458108013,Protein_KLKB1,0.5998320991769752,Protein_FRZB,12.36714415019415
33,Protein_TMEM132B,0.35352694485529046,Protein_CNTN5,0.4226494559180747,Protein_C4A,-0.3797641997637058,Protein_SEMA3E,-0.4461988936555392,Protein_TNFRSF25,0.5985933372384902,Protein_CST3,12.319825510130851
34,Protein_GFRA2,0.35275170063833095,Protein_NPTX2,0.4197925763578354,Protein_SHH,-0.37966725611883057,Protein_PDXP,-0.4458207332937292,Protein_FETUB,0.5979127030649503,Protein_CHGB,12.31760656465395
35,Protein_DCUN1D5,0.35035692847648514,Protein_NBL1,0.4184628657562506,Protein_CFB,-0.37719624939392027,Protein_PLD3,-0.44550564530638015,Protein_HRG,0.5939202114781947,Protein_IGFBP2.2,12.30563184709235
36,Protein_CLGN,0.3483275374826653,Protein_C6,-0.41683502000853956,Protein_DNASE1L2,-0.37517603261918975,Protein_IGSF8,-0.4452137492859993,Protein_AMHR2,0.5847016068465791,Protein_SPP1,12.3038751155665
